"etahat_0","etahat_1","cov_00","cov_01","cov_11","rdhat","rrhat","var_rd","var_rr","Estimator","Version","eta_0","eta_1","rd","rr","seed","m","n_trial","n_aux","p_resp","p_cens","K"
0.849292792447047,0.134298755473675,0.000280561839607712,1.88069022546749e-05,0.000131753626276664,-0.714994036973372,0.158130101500948,0.000374701661375026,0.000184141909453615,"AIPW","Parametric",0.772368319606697,0.228208319606697,-0.54416,0.295465665555657,7000001,20,5000,5000,0.5,0.3,5
0.776213864075589,0.297784723928851,0.00108290873335567,1.81086541285711e-05,0.0050850396218852,-0.478429140146738,0.383637471205812,0.00613173104698373,0.00868125511228232,"AIPW","Nonparametric SS 1",0.772368319606697,0.228208319606697,-0.54416,0.295465665555657,7000001,20,5000,5000,0.5,0.3,5
0.79794228313667,0.234216918033813,0.000914540326356276,2.27688460028077e-05,0.00170675787703041,-0.563725365102857,0.293526139651502,0.00257576051138107,0.00278334047848493,"AIPW","Nonparametric SS 2",0.772368319606697,0.228208319606697,-0.54416,0.295465665555657,7000001,20,5000,5000,0.5,0.3,5
0.851978150272382,0.150653617227367,0.000196546327707461,3.18693921469459e-05,2.0344287434074e-05,-0.701324533045015,0.176828029192066,0.000153151830847643,2.09668287839828e-05,"AIPW","Parametric",0.773270204138855,0.226982204138855,-0.546288,0.293535432923646,7000001,20,50000,5000,0.5,0.3,5
0.772457743183281,0.231028181690919,0.000186609695862588,3.78117226956533e-05,4.44379763321838e-05,-0.541429561492361,0.299081967563504,0.000155424226803465,6.45436438564653e-05,"AIPW","Nonparametric SS 1",0.773270204138855,0.226982204138855,-0.546288,0.293535432923646,7000001,20,50000,5000,0.5,0.3,5
0.77194583640691,0.234714344739809,0.000259721239525302,3.78979388137848e-05,9.74698125533625e-05,-0.537231491667101,0.304055457870345,0.000281395174451094,0.000165186703626791,"AIPW","Nonparametric SS 2",0.773270204138855,0.226982204138855,-0.546288,0.293535432923646,7000001,20,50000,5000,0.5,0.3,5
0.849175137203808,0.134067121985372,0.000165351785272178,9.47019147044187e-07,0.000128210595630143,-0.715108015218436,0.157879236110036,0.000291668342608233,0.000183099973787024,"AIPW","Parametric",0.772368319606697,0.228208319606697,-0.54416,0.295465665555657,7000001,20,5000,50000,0.5,0.3,5
0.791643446749874,0.232366497281217,0.00124969722811045,8.44613276166872e-07,0.00139523347266519,-0.559276949468657,0.293524184701089,0.00264324147422331,0.00239733314633005,"AIPW","Nonparametric SS 1",0.772368319606697,0.228208319606697,-0.54416,0.295465665555657,7000001,20,5000,50000,0.5,0.3,5
0.773030563615534,0.211621032172258,0.000868136700904473,1.38954322644444e-06,0.000976245782123935,-0.561409531443276,0.273755064977622,0.00184160339657552,0.00174127527168809,"AIPW","Nonparametric SS 2",0.772368319606697,0.228208319606697,-0.54416,0.295465665555657,7000001,20,5000,50000,0.5,0.3,5
0.851930569581928,0.150666693642438,2.7490137769196e-05,2.13856476110722e-06,1.50213985158802e-05,-0.70126387593949,0.176853254269741,3.82344067628618e-05,2.08391890303723e-05,"AIPW","Parametric",0.773270204138855,0.226982204138855,-0.546288,0.293535432923646,7000001,20,50000,50000,0.5,0.3,5
