"etahat_0","etahat_1","cov_00","cov_01","cov_11","rdhat","rrhat","var_rd","var_rr","Estimator","Version","eta_0","eta_1","rd","rr","seed","m","n_trial","n_aux","p_resp","p_cens","K"
0.826621427345937,0.109722900185385,0.00340386090050086,0.000170184915359852,0.0015224159021317,-0.716898527160551,0.132736578747634,0.00458590697191286,0.00224967405954235,"AIPW","Parametric",0.752673444086086,0.243873444086086,-0.5088,0.324009629942774,7000001,20,500,500,0.5,0.3,5
0.585006451995048,0.041090261927544,0.0242951519783704,0.000127288134843927,0.000918996012424422,-0.543916190067504,0.0702389893092868,0.024959571721107,0.00298327949123778,"AIPW","Nonparametric SS 1",0.752673444086086,0.243873444086086,-0.5088,0.324009629942774,7000001,20,500,500,0.5,0.3,5
0.490989478675002,0.112566801083349,0.0529934557946929,0.000147952527795456,0.00281659309589904,-0.378422677591653,0.229265200116151,0.055514143835001,0.0229568475555405,"AIPW","Nonparametric SS 2",0.752673444086086,0.243873444086086,-0.5088,0.324009629942774,7000001,20,500,500,0.5,0.3,5
0.849267198959388,0.134052988022871,0.00195523350000517,0.00028061108716467,0.000171669170946465,-0.715214210936516,0.15784547924037,0.0015656804966223,0.000182734058682158,"AIPW","Parametric",0.772368319606697,0.228208319606697,-0.54416,0.295465665555657,7000001,20,5000,500,0.5,0.3,5
0.778978027563568,0.229585703817188,0.00244165134711592,0.000315264614068043,0.00138867209083779,-0.54939232374638,0.294726803187594,0.00319979420981762,0.00233176298202248,"AIPW","Nonparametric SS 1",0.772368319606697,0.228208319606697,-0.54416,0.295465665555657,7000001,20,5000,500,0.5,0.3,5
0.821569279251785,0.261403316376693,0.00395780681000793,0.000300353373653874,0.00597829975243949,-0.560165962875092,0.318175621920475,0.00933539981513967,0.00916749664851636,"AIPW","Nonparametric SS 2",0.772368319606697,0.228208319606697,-0.54416,0.295465665555657,7000001,20,5000,500,0.5,0.3,5
0.828495857756625,0.10481715146279,0.00222419872184813,9.00721665407505e-06,0.00125258302173431,-0.723678706293835,0.12651499760857,0.00345876731027429,0.00187338936343013,"AIPW","Parametric",0.752673444086086,0.243873444086086,-0.5088,0.324009629942774,7000001,20,500,5000,0.5,0.3,5
0.782876522759657,0.0783287858970872,0.0133684015283467,5.58713050617541e-06,0.0054811895534449,-0.70454773686257,0.100052541646001,0.0188384168207793,0.00915962786325194,"AIPW","Nonparametric SS 1",0.752673444086086,0.243873444086086,-0.5088,0.324009629942774,7000001,20,500,5000,0.5,0.3,5
0.814889493943509,0.0572868836412064,0.00459993080023168,8.04059417392786e-06,0.00202638640323917,-0.757602610302302,0.0703001867946254,0.00661023601512299,0.00308411272273753,"AIPW","Nonparametric SS 2",0.752673444086086,0.243873444086086,-0.5088,0.324009629942774,7000001,20,500,5000,0.5,0.3,5
0.849292792447047,0.134298755473675,0.000280561839607712,1.88069022546749e-05,0.000131753626276664,-0.714994036973372,0.158130101500948,0.000374701661375026,0.000184141909453615,"AIPW","Parametric",0.772368319606697,0.228208319606697,-0.54416,0.295465665555657,7000001,20,5000,5000,0.5,0.3,5
0.732010356679657,0.311212846552075,0.00428568679462028,1.49785643469943e-05,0.00888386627555146,-0.420797510127582,0.425148146760809,0.0131395959414778,0.018001244929563,"AIPW","Nonparametric SS 1",0.772368319606697,0.228208319606697,-0.54416,0.295465665555657,7000001,20,5000,5000,0.5,0.3,5
0.799216691758717,0.326933438107938,0.00184759983660412,1.2155171251189e-05,0.00441146703392218,-0.472283253650779,0.409067329898359,0.00623475652802392,0.00737489212317607,"AIPW","Nonparametric SS 2",0.772368319606697,0.228208319606697,-0.54416,0.295465665555657,7000001,20,5000,5000,0.5,0.3,5
0.855616408912379,0.209286779974841,0.00298338893969374,0.000287925479540994,0.00215032808522471,-0.646329628937538,0.244603513671363,0.00455786606583646,0.0029887080315169,"AIPW","Parametric",0.764754017492192,0.233554017492192,-0.5312,0.305397568564687,7000002,20,500,500,0.5,0.3,5
0.69191024026984,0.312784909372825,0.0167803037528504,0.000450479333157578,0.0130034703182332,-0.379125330897016,0.452059951086778,0.0288828154047684,0.0334740840374147,"AIPW","Nonparametric SS 1",0.764754017492192,0.233554017492192,-0.5312,0.305397568564687,7000002,20,500,500,0.5,0.3,5
0.896028751448476,0.291288893704598,0.0122135691306509,0.000455085854475087,0.00911515766841986,-0.604739857743879,0.325088780057241,0.0204185550901206,0.0125924064774707,"AIPW","Nonparametric SS 2",0.764754017492192,0.233554017492192,-0.5312,0.305397568564687,7000002,20,500,500,0.5,0.3,5
0.86205831659214,0.138421558314197,0.00202433637534861,0.000312836145290426,0.000192112990147176,-0.723636758277943,0.16057099113828,0.00159077707491494,0.000193558203757466,"AIPW","Parametric",0.77733916909743,0.22325916909743,-0.55408,0.287209467852568,7000002,20,5000,500,0.5,0.3,5
0.745623759676619,0.274997867793343,0.0037945626777361,0.000415956715190325,0.00683756347347029,-0.470625891883275,0.368815859506155,0.00980021272082574,0.0126753049591364,"AIPW","Nonparametric SS 1",0.77733916909743,0.22325916909743,-0.55408,0.287209467852568,7000002,20,5000,500,0.5,0.3,5
0.871891264256977,0.229571458162032,0.0129503723714476,0.000386704727984741,0.00422521648734184,-0.642319806094945,0.263302853891617,0.0164021794028199,0.0064712450193873,"AIPW","Nonparametric SS 2",0.77733916909743,0.22325916909743,-0.55408,0.287209467852568,7000002,20,5000,500,0.5,0.3,5
0.867240426389601,0.203503460110824,0.00177883382448446,1.3754319953887e-05,0.00190698658746235,-0.663736966278777,0.234656335104242,0.00365831177203904,0.00265717945478276,"AIPW","Parametric",0.764754017492192,0.233554017492192,-0.5312,0.305397568564687,7000002,20,500,5000,0.5,0.3,5
0.767262703611514,0.551037560197387,0.00857575290688359,-1.46637266728148e-05,0.0245638632935926,-0.216225143414127,0.718186297344634,0.0331689436538219,0.0492757232000965,"AIPW","Nonparametric SS 1",0.764754017492192,0.233554017492192,-0.5312,0.305397568564687,7000002,20,500,5000,0.5,0.3,5
0.736803347132393,0.415290619455767,0.0405151023437171,7.849749059405e-06,0.0161719293257878,-0.321512727676626,0.563638345390341,0.0566713321713861,0.053481974018878,"AIPW","Nonparametric SS 2",0.764754017492192,0.233554017492192,-0.5312,0.305397568564687,7000002,20,500,5000,0.5,0.3,5
0.861914842333593,0.135709799595277,0.000273487686634133,2.1282166580518e-05,0.000135273048098843,-0.726205042738316,0.157451517168273,0.000366196401571939,0.00018219379200436,"AIPW","Parametric",0.77733916909743,0.22325916909743,-0.55408,0.287209467852568,7000002,20,5000,5000,0.5,0.3,5
