"etahat_0","etahat_1","cov_00","cov_01","cov_11","rdhat","rrhat","var_rd","var_rr","Estimator","Version","eta_0","eta_1","rd","rr","seed","m","n_trial","n_aux","p_resp","p_cens"
0.627588803875056,0.614329669232935,0.00805245086891311,0.000365609843351628,0.0100345519355199,-0.0132591346421213,0.978872894863241,0.0173557831177297,0.0432494862540101,"AIPW","Proposed",0.50739387451616,0.341264795703246,-0.166129078812914,0.672583594014942,5000001,20,500,500,0.5,0.3
0.454360393617816,0.518890881022058,0.00202367101318392,0.000940675100744468,0.00260999846546196,0.0645304874042423,1.14202489545892,0.00275231927715695,0.0150199238266764,"AIPW","Proposed",0.50508328872986,0.341537445864325,-0.163545842865535,0.676200249513687,5000001,20,5000,500,0.5,0.3
0.58480388264879,0.628353000130718,0.0121185066157336,1.08038843057213e-05,0.0347420103304455,0.0435491174819279,1.07446790073397,0.0468389091775676,0.142426934921167,"AIPW","Proposed",0.50739387451616,0.341264795703246,-0.166129078812914,0.672583594014942,5000001,20,500,5000,0.5,0.3
0.453710321205167,0.504654330253041,0.000856055846605971,7.18192606056818e-05,0.000729794899854069,0.0509440090478742,1.11228311692922,0.00144221222524868,0.00791398505111415,"AIPW","Proposed",0.50508328872986,0.341537445864325,-0.163545842865535,0.676200249513687,5000001,20,5000,5000,0.5,0.3
0.437936703769547,0.402003643658925,0.00549732496008489,0.000430453084734925,0.00491075019821687,-0.0359330601106221,0.917949192654263,0.00954716898883191,0.0456372221844283,"AIPW","Proposed",0.48521225096768,0.348594143376191,-0.136618107591489,0.718436401143984,5000002,20,500,500,0.5,0.3
0.494405834910499,0.372931609298145,0.00102146379424696,0.000358322343480015,0.00190464915508098,-0.121474225612354,0.754302605198128,0.00220946826236791,0.00795814830221774,"AIPW","Proposed",0.501293928040328,0.34430382893888,-0.156990099101448,0.68683024006463,5000002,20,5000,500,0.5,0.3
0.509366374014262,0.290697611334872,0.0126931815993186,3.56142091148103e-05,0.00774695137097623,-0.21866876267939,0.570704361663915,0.0203689045520653,0.0456362575823463,"AIPW","Proposed",0.48521225096768,0.348594143376191,-0.136618107591489,0.718436401143984,5000002,20,500,5000,0.5,0.3
0.487406159937781,0.388023998129858,0.000439375488622232,3.12675072333952e-05,0.000853147137035635,-0.0993821618079231,0.79609990604015,0.00122998761119108,0.00455382449452413,"AIPW","Proposed",0.501293928040328,0.34430382893888,-0.156990099101448,0.68683024006463,5000002,20,5000,5000,0.5,0.3
0.499744701280766,0.314005090528416,0.00417562556648132,0.000424028696145779,0.00724269262188389,-0.18573961075235,0.628331005258627,0.0105702607960737,0.0334676411560698,"AIPW","Proposed",0.50831810883068,0.337029425655119,-0.171288683175561,0.663028563807045,5000003,20,500,500,0.5,0.3
0.51054567471338,0.347052210071367,0.000898662231729015,0.000371266483144276,0.00165223877131786,-0.163493464642012,0.679767212338451,0.00180836803675832,0.00599541484210451,"AIPW","Proposed",0.5069317573589,0.341381710290464,-0.165550047068436,0.673427350594591,5000003,20,5000,500,0.5,0.3
0.573000252223629,0.0994032354163217,0.00543474585443828,4.86351035100588e-05,0.0220354364271552,-0.473597016807307,0.17347851947808,0.0273729120745734,0.0675605876395081,"AIPW","Proposed",0.50831810883068,0.337029425655119,-0.171288683175561,0.663028563807045,5000003,20,500,5000,0.5,0.3
0.519854352556877,0.368189190621285,0.000366163037932682,2.32822786154098e-05,0.000740626959188204,-0.151665161935592,0.708254511692295,0.00106022543989007,0.00329816290298494,"AIPW","Proposed",0.5069317573589,0.341381710290464,-0.165550047068436,0.673427350594591,5000003,20,5000,5000,0.5,0.3
0.569927033377444,0.495344547937184,0.00241054222001598,0.000300755531803033,0.00692722041763239,-0.0745824854402595,0.869136782303032,0.0087362515740423,0.0253230282621096,"AIPW","Proposed",0.48890918822576,0.354103400405244,-0.134805787820516,0.724272337139495,5000004,20,500,500,0.5,0.3
0.458439517438223,0.58468969561755,0.00181105841412087,0.000904490539099122,0.0018494490844167,0.126250178179328,1.27539113313097,0.00185152642033933,0.0118391639602775,"AIPW","Proposed",0.500092423431452,0.344124277751331,-0.155968145680121,0.688121358428259,5000004,20,5000,500,0.5,0.3
0.658907185333813,0.567042482315264,0.00533806049661691,-6.48838424665446e-06,0.00985606822878825,-0.0918647030185495,0.860580207556836,0.0152071054938985,0.0318330484825374,"AIPW","Proposed",0.48890918822576,0.354103400405244,-0.134805787820516,0.724272337139495,5000004,20,500,5000,0.5,0.3
0.444999466534275,0.551986820087599,0.000711560686346181,6.75526833789059e-05,0.000831352392436459,0.106987353553324,1.24042130743787,0.00140780771202483,0.00888073899573957,"AIPW","Proposed",0.500092423431452,0.344124277751331,-0.155968145680121,0.688121358428259,5000004,20,5000,5000,0.5,0.3
0.378918524287503,0.395194446272416,0.00343050719474219,0.000242296111197846,0.00866650984324499,0.0162759219849125,1.04295361915999,0.0116124248155915,0.0828298289506672,"AIPW","Proposed",0.48521225096768,0.352046888917714,-0.133165362049966,0.725552349957388,5000005,20,500,500,0.5,0.3
0.497614226346566,0.34445761496884,0.000851567429734754,0.00038555397021892,0.00233435036621703,-0.153156611377726,0.692218181738519,0.00241480985551395,0.00891938586271343,"AIPW","Proposed",0.50138635147178,0.345390922482635,-0.155995428989145,0.688871808075284,5000005,20,5000,500,0.5,0.3
0.338496412080061,0.466536709270073,0.00433155501243605,1.0779106090546e-05,0.0126112850669451,0.128040297190012,1.37826190358475,0.0169212818672001,0.181618537831081,"AIPW","Proposed",0.48521225096768,0.352046888917714,-0.133165362049966,0.725552349957388,5000005,20,500,5000,0.5,0.3
0.506662984824036,0.364387442892774,0.000353325401803633,2.30508804405818e-05,0.000744476312066042,-0.142275541931262,0.719190968764623,0.00105169995298851,0.00348284819484724,"AIPW","Proposed",0.50138635147178,0.345390922482635,-0.155995428989145,0.688871808075284,5000005,20,5000,5000,0.5,0.3
0.525296048609707,0.354323220511264,0.0037672662713407,0.000245430637208606,0.00881126274319555,-0.170972828098444,0.674521008579914,0.012087667740119,0.0369440532103238,"AIPW","Proposed",0.51109081177424,0.336209436942432,-0.174881374831808,0.657827198605446,5000006,20,500,500,0.5,0.3
0.503716515924566,0.38168725937314,0.000932539241286389,0.000350005719362365,0.00126926876675048,-0.122029256551426,0.757742196863561,0.00150179656931214,0.0050221810061635,"AIPW","Proposed",0.499722729705644,0.345736235761313,-0.153986493944332,0.691856133830383,5000006,20,5000,500,0.5,0.3
0.422073413795038,0.365073181185331,0.00856761159873954,1.55349482462983e-05,0.010154628559533,-0.0570002326097077,0.864951852576558,0.01869117026178,0.0928314150264444,"AIPW","Proposed",0.51109081177424,0.336209436942432,-0.174881374831808,0.657827198605446,5000006,20,500,5000,0.5,0.3
0.495773032020071,0.365935733689897,0.000347091960659225,2.17598358806634e-05,0.000746174929158132,-0.129837298330173,0.738111414005034,0.00104974721805603,0.00367446964771742,"AIPW","Proposed",0.499722729705644,0.345736235761313,-0.153986493944332,0.691856133830383,5000006,20,5000,5000,0.5,0.3
0.507970943262655,0.455393022961789,0.00441254736723291,0.00070243834545181,0.00946623780533942,-0.0525779203008663,0.896494236534156,0.0124739084816687,0.0455487451114277,"AIPW","Proposed",0.5184846862904,0.336310643954191,-0.182174042336209,0.648641421524695,5000007,20,500,500,0.5,0.3
0.496330013224248,0.385308476047634,0.000803579315273961,0.000351492114828387,0.00196147670524217,-0.111021537176614,0.776315084281527,0.00206207179085936,0.0077129244281688,"AIPW","Proposed",0.506746910495996,0.340568096186523,-0.166178814309473,0.672067434714462,5000007,20,5000,500,0.5,0.3
0.396983601102141,0.543316415059582,0.00623870689539253,5.27094491317796e-05,0.0141314173195571,0.146332813957441,1.36861173497137,0.0202647053166861,0.162902948202734,"AIPW","Proposed",0.5184846862904,0.336310643954191,-0.182174042336209,0.648641421524695,5000007,20,500,5000,0.5,0.3
0.475129262781372,0.42612209711286,0.000362520349241884,2.99680998586429e-05,0.000722970032451112,-0.0490071656685114,0.896855088693912,0.00102555418197571,0.00425611578808612,"AIPW","Proposed",0.506746910495996,0.340568096186523,-0.166178814309473,0.672067434714462,5000007,20,5000,5000,0.5,0.3
0.443923338111581,0.492112681209947,0.00302214374484941,0.000204292611628841,0.00576669967605173,0.0481893430983663,1.10855329954798,0.00838025819764346,0.045809811179519,"AIPW","Proposed",0.51109081177424,0.341252766525589,-0.169838045248651,0.667694974482006,5000008,20,500,500,0.5,0.3
0.381830476656616,0.494364803543343,0.00170824736122043,0.000865660213108903,0.00211232108844152,0.112534326886728,1.29472327057835,0.00208924802344414,0.0187544064610458,"AIPW","Proposed",0.504343901278244,0.343060819045833,-0.161283082232411,0.680212089759301,5000008,20,5000,500,0.5,0.3
0.397452699997741,0.39157331016039,0.00394923777180439,1.54442454830651e-05,0.00986649891195865,-0.00587938983735092,0.985207321934448,0.0137848481927969,0.0865319150675306,"AIPW","Proposed",0.51109081177424,0.341252766525589,-0.169838045248651,0.667694974482006,5000008,20,500,5000,0.5,0.3
0.410139437003598,0.44339192505702,0.00064788876309678,6.74508258229418e-05,0.000927412382496394,0.0332524880534215,1.08107605622214,0.00144039949394729,0.0091477180456254,"AIPW","Proposed",0.504343901278244,0.343060819045833,-0.161283082232411,0.680212089759301,5000008,20,5000,5000,0.5,0.3
0.465846635116876,0.274193422274457,0.00778956560899376,0.000769356868187006,0.0117731431092085,-0.191653212842419,0.58859161278618,0.0180239949818282,0.0625127592690852,"AIPW","Proposed",0.49630306274192,0.349370895908445,-0.146932166833475,0.703946685273871,5000009,20,500,500,0.5,0.3
0.442770640099034,0.489270042796671,0.00111713695519738,0.000494270999434998,0.00215394331133373,0.0464994026976372,1.10501916452102,0.00228253826766111,0.0123730497256952,"AIPW","Proposed",0.499815153137096,0.345935379980514,-0.153879773156582,0.692126634835392,5000009,20,5000,500,0.5,0.3
0.486145368947859,0.438219311023694,0.0146314564278456,4.26825237962066e-05,0.00847584300873817,-0.0479260579241656,0.901416199792483,0.0230219343889914,0.0858421368371953,"AIPW","Proposed",0.49630306274192,0.349370895908445,-0.146932166833475,0.703946685273871,5000009,20,500,5000,0.5,0.3
0.508240276730617,0.407135443598046,0.000363248351258444,2.22412566288774e-05,0.000720229915765996,-0.10110483313257,0.801068829524979,0.00103899575376668,0.00355272111612924,"AIPW","Proposed",0.499815153137096,0.345935379980514,-0.153879773156582,0.692126634835392,5000009,20,5000,5000,0.5,0.3
0.429740537724329,0.470621446129341,0.00418665504220027,0.000443320744962998,0.0085558760933017,0.0408809084050121,1.09512928108085,0.011855889645576,0.0682596279515292,"AIPW","Proposed",0.51756045197588,0.332148749018377,-0.185411702957504,0.64175836416855,5000010,20,500,500,0.5,0.3
0.508666921835311,0.434932607847643,0.00110798969773756,0.00049129700288159,0.00192732867458186,-0.0737343139876682,0.855044016383788,0.00205272436655623,0.00733247343891263,"AIPW","Proposed",0.507116604221804,0.341833417096925,-0.16528318712488,0.674072618114102,5000010,20,5000,500,0.5,0.3
0.48004912512757,0.519038712468323,0.00295495273630349,9.3726259670476e-06,0.0081082034447166,0.0389895873407523,1.08121999457949,0.011044410929086,0.0500868993269633,"AIPW","Proposed",0.51756045197588,0.332148749018377,-0.185411702957504,0.64175836416855,5000010,20,500,5000,0.5,0.3
0.503206686744041,0.392937298538693,0.00035174737354128,3.30387945621789e-05,0.000816647217214792,-0.110269388205348,0.7808666078767,0.00110231700163171,0.00386833604543022,"AIPW","Proposed",0.507116604221804,0.341833417096925,-0.16528318712488,0.674072618114102,5000010,20,5000,5000,0.5,0.3
0.555738262298124,0.327965089340918,0.00457531936577474,0.000494266649198263,0.00847174517800519,-0.227773172957205,0.590143079198284,0.0120585312453834,0.0307008688126919,"AIPW","Proposed",0.50184846862904,0.344790685729001,-0.157057782900039,0.687041422425592,5000011,20,500,500,0.5,0.3
0.502592529447522,0.427338927925056,0.0010561053007948,0.000465363285721242,0.00285013963900334,-0.0752536015224666,0.850269160177949,0.00297551836835566,0.0111729980682181,"AIPW","Proposed",0.50138635147178,0.34361578258642,-0.15777056888536,0.685331344935424,5000011,20,5000,500,0.5,0.3
0.506959735354852,0.29725916842065,0.00375904818883829,1.71473142673777e-05,0.00569443490221262,-0.209700566934201,0.586356563825687,0.00941918846251615,0.0271070736854653,"AIPW","Proposed",0.50184846862904,0.344790685729001,-0.157057782900039,0.687041422425592,5000011,20,500,5000,0.5,0.3
0.517171740156038,0.401440050287812,0.000373262356860668,3.11583168695986e-05,0.000658848745783029,-0.115731689868227,0.776221937739079,0.0009697944689045,0.00312328866737615,"AIPW","Proposed",0.50138635147178,0.34361578258642,-0.15777056888536,0.685331344935424,5000011,20,5000,5000,0.5,0.3
0.546497583963383,0.370988008544022,0.00531347240257908,0.000423068616753993,0.00598204597262893,-0.175509575419361,0.678846566627968,0.0104493811417,0.0263050978413642,"AIPW","Proposed",0.50554540588712,0.34398354455179,-0.16156186133533,0.680420671508576,5000012,20,500,500,0.5,0.3
0.366895264914552,0.521414282884037,0.0019610501557657,0.000929469491370047,0.00278339671329066,0.154519017969485,1.42115293585343,0.00288550788631627,0.0304745585472717,"AIPW","Proposed",0.505360559024216,0.343099384676216,-0.162261174348,0.678919988015478,5000012,20,5000,500,0.5,0.3
0.64901585320615,0.443210281773736,0.00723026963148348,1.05760026757079e-05,0.0109105719032361,-0.205805571432414,0.682895925552926,0.0181196895293681,0.0338727678543087,"AIPW","Proposed",0.50554540588712,0.34398354455179,-0.16156186133533,0.680420671508576,5000012,20,500,5000,0.5,0.3
